id,corridor,event_cause,priority,target,hour,day_of_week,month,is_weekend,corridor_encoded,event_cause_encoded,requires_road_closure,events_in_corridor_last_2hrs,latitude,longitude,created_date,closed_datetime
FKID005760,Non-corridor,others,Low,0,19,3,11,0,11,6,0,0,12.9668967,77.610555,2023-11-09 19:27:19.694644+00,2023-11-09 22:48:37.836256+00
FKID005761,Non-corridor,vehicle_breakdown,Low,0,19,3,11,0,11,14,0,1,12.9623447,77.5945534,2023-11-09 19:29:30.672942+00,
FKID005197,Non-corridor,water_logging,Low,0,20,3,11,0,11,16,0,2,12.9217733,77.585775,2023-11-09 20:53:11.012768+00,2023-11-13 21:31:36.702368+00
FKID005766,Non-corridor,vehicle_breakdown,Low,0,22,3,11,0,11,14,0,1,12.9554704,77.5921748,2023-11-09 22:22:32.04187+00,
FKID005767,Non-corridor,vehicle_breakdown,Low,0,22,3,11,0,11,14,0,2,12.9581237,77.5739029,2023-11-09 22:39:44.586808+00,2023-11-10 00:13:30.616095+00
FKID004396,Non-corridor,accident,Low,0,22,3,11,0,11,2,0,2,13.09094844,77.53679215,2023-11-09 23:43:35.244064+00,
FKID005774,Non-corridor,vehicle_breakdown,Low,0,1,4,11,0,11,14,0,0,12.9446873,77.5972817,2023-11-10 01:43:45.958624+00,
FKID004401,Non-corridor,road_conditions,Low,0,2,4,11,0,11,11,0,1,12.9400211,77.7473129,2023-11-10 02:17:41.129011+00,2024-02-23 21:43:56.883112+00
FKID005777,Non-corridor,accident,Low,0,3,4,11,0,11,2,0,2,12.9775236,77.5854059,2023-11-10 03:17:18.729826+00,
FKID005781,Non-corridor,vehicle_breakdown,Low,0,6,4,11,0,11,14,0,0,12.9317517,77.5797388,2023-11-10 06:10:55.092016+00,2023-11-10 08:04:43.967899+00
FKID005782,Non-corridor,Debris,Low,0,6,4,11,0,11,0,0,1,12.9557349,77.58582,2023-11-10 06:43:06.504633+00,2023-11-28 20:49:16.694336+00
FKID004410,Non-corridor,vehicle_breakdown,Low,0,7,4,11,0,11,14,0,2,12.9951755,77.7580241,2023-11-10 07:34:19.161616+00,2023-11-10 08:18:44.43876+00
FKID005783,Non-corridor,vehicle_breakdown,Low,0,7,4,11,0,11,14,0,3,13.008543,77.5717493,2023-11-10 07:36:40.90405+00,
FKID005784,Non-corridor,vehicle_breakdown,Low,0,7,4,11,0,11,14,0,4,13.0084952,77.5717525,2023-11-10 07:37:39.342635+00,
FKID005786,Non-corridor,vehicle_breakdown,Low,0,8,4,11,0,11,14,0,3,12.8407422,77.6761962,2023-11-10 08:47:01.47743+00,2023-11-10 09:06:00.632272+00
FKID005787,Non-corridor,others,Low,0,9,4,11,0,11,6,0,4,12.9160567,77.5855433,2023-11-10 09:24:21.016433+00,2023-11-12 06:57:44.305413+00
FKID005789,Non-corridor,vehicle_breakdown,Low,0,19,4,11,0,11,14,0,0,12.9663399,77.6242556,2023-11-10 19:31:05.498621+00,
